182845795	023800000	CITI Bank	110951449
113672086	022900002	Chicago Bank	352394456
168783903	030000819	WA Bank	528180904
113782241	021000021	JP Morgan	975001548
145105265	022900002	Chicago Bank	975001548
186898174	021000021	JP Morgan	528180904
167701923	023800000	CITI Bank	632360372
121530783	020500005	M&T Bank	768598709
136110252	022900002	Chicago Bank	799120078
154948937	040500002	Florida Bank	175471905
171454663	020500005	M&T Bank	258252896
136783826	020500005	M&T Bank	122281063
100061298	021000021	JP Morgan	631791606
168948227	042000031	America Bank	287858332
118872142	040000097	CA Bank	646342650
152363168	033980000	TX Bank	399912770
104618090	042000031	America Bank	927937906
